Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
337,2,-638278190,-1977922015
338,5,268751549,934263462
339,3,186698882,-197983856
340,5,202378363,-1236256302
341,8,432490187,-957601066
342,10,-1185421933,739740159
343,5,-1523607395,887019825
344,4,307119963,1112597005
345,6,-291543327,-1830799454
346,9,-267347118,360026593
347,5,1450568759,-641672712
348,2,1647417060,1864357991
349,2,-20913126,-448653345
350,2,-1371216002,-1418930254
351,6,1301653663,1290736470
352,8,-1220657353,-696326491
353,8,-2023370271,10135338
354,11,-1309633932,1025850651
355,4,1367724537,1233160738
356,11,1140771321,-1959221621
357,6,787881835,970263091
358,2,1398352588,726838835
359,5,1277036181,-1491188184
360,3,512026828,-1478866983
361,9,-2461458,1035579032
362,6,-460804711,296836989
363,9,575307202,1667862058
364,1,-1803292883,1329017817
365,6,191098421,352196814
366,7,1237171550,1209572532
367,3,1653155850,2036361849
368,9,970888282,8231524
369,9,-933411977,-1984442044
370,7,-945859057,1755908802
371,8,-1425474087,-1430359886
372,11,-1799897234,-1256932100
373,9,-908116420,1688084718
374,11,-2090318829,1307051387
375,2,2064434463,-518014954
376,7,-1150775139,-1359180979
377,4,1688951557,-912595037
378,5,1426383493,-1017090649
379,8,1391442998,1422119865
380,6,2132758547,1117537849
381,4,-778577426,233293526
382,2,149893942,-1272236043
383,8,-933780433,-660332235
384,1,530520586,90074061
385,6,-1567009790,-346764656
386,1,-1315366748,2108172649
387,8,441423420,1113425574
388,7,-1587168489,-1390748563
389,8,-782109055,1818063343
390,1,1444792218,-1160278178
391,3,136830767,-1690893780
392,5,-1607217373,-523213907
393,4,-8362724,-2032645835
394,11,885638934,1858714935
395,10,-1432071459,-1946383602
396,6,-1220493029,-239038755
397,8,-1737249845,-183701110
398,1,-124741998,-1533803448
399,4,1773236220,132727014
400,8,-603691039,-220822078
401,6,-644270019,168778447
402,5,-272606018,-1223252156
403,3,1303771675,383354097
404,3,769600625,854987936
405,6,1524279129,-1358614600
406,3,1651996780,-441232254
407,3,-774353276,1318551418
408,1,-1827309869,947916232
409,5,-1180203008,-2073123345
410,8,-1679631863,-1008431772
411,10,1745833012,542192216
412,2,-56208999,1412532217
413,4,820146352,-1519945490
414,7,2005288881,-1363391536
415,1,-392267975,-687318201
416,11,316199108,254336691
417,5,682923606,1196581538
418,10,2016793302,-110214395
419,5,678856475,1492651186
420,3,-1831145223,-1800131834
421,3,2045711194,-805637010
422,11,-364449484,1568323192
423,6,1831376883,-301718714
424,5,1390742592,2021890887
425,9,-1240615411,-2145270720
426,9,-2094689695,1232966704
427,7,-25518957,1789833522
428,3,1460668806,-1754980888
429,4,-2059445609,1062513687
430,1,-1095534494,937419445
431,9,945981299,899358411
432,7,-57228159,-306324770
433,10,-420080812,1095671581
434,4,-139122760,987475785
435,11,-490318348,-1354279785
436,10,-625552851,729108896
437,2,-1629030826,1587573480
438,6,-1137323479,474249578
439,1,1280182677,-2038647398
440,3,1861911600,1002541242
441,8,-52319946,-449242541
442,4,1246927261,1788259293
443,1,301028686,474061808
444,5,617717296,238861332
445,11,1437948765,-442964926
446,4,-1634229878,1854856798
447,7,-377160186,-1920713050
448,3,239093181,-614444963
449,6,1974920424,-1184967950
450,11,2114876073,1629211497
451,4,128542142,-1802590665
452,6,721528427,-663388994
453,1,1855107888,-580694931
454,6,-216365779,-1885494321
455,6,-171789902,562840231
456,6,-364244391,371929850
457,10,1543727238,-900632786
458,1,-608945464,1539324893
459,8,1180050038,1507704954
460,11,-275912709,574751625
461,8,1698639582,706030437
462,6,1486351698,345515104
463,5,878561279,-1215593955
464,5,451136163,1600231087
465,6,-1358887522,-1811504908
466,5,1618874377,119844423
467,3,-411007600,-1613060436
468,6,74981255,-141025931
469,4,863030428,-482464047
470,7,2001914656,-865325784
471,8,1781556752,-1728881445
472,1,-1485179170,1284827175
473,8,1384204416,-1902570493
474,10,-940727512,-1939162970
475,6,1678280245,-1069832652
476,3,1695973901,81885246
477,8,1491028773,27783094
478,3,-396905670,-736695496
479,6,80973952,-1383200225
480,10,-1021250140,631575036
481,6,1856938855,-501132336
482,4,1571431285,-2006062261
483,6,1487609657,1905104945
484,11,-135703118,1273569566
485,10,1574601181,143340559
486,7,702945685,1208496334
487,8,-1096970834,2021729373
488,3,8822977,1950913461
489,4,-92567796,-1122209099
490,10,-1899328073,861345567
491,2,667058756,907170752
492,5,-1061885043,-1807394908
493,5,857875354,2029360259
494,4,1260781719,-2098595604
495,1,-1831588397,-1754418378
496,7,1615187632,100421292
497,9,2011128033,1597847992
498,11,-1903843494,1636427314
499,3,-1941494851,-2021603208
500,11,-1192579994,-1396975572
501,11,731446140,1956500926
502,8,-803123016,-848979580
503,8,573801493,2011627565
504,4,898005295,1818716910
505,1,1754232146,-958193640
506,9,1239432021,-44056864
507,11,-1767359826,2122398987
508,6,-2136675213,937106662
509,5,-520633617,-1283237009
510,4,1762862909,2086249031
511,3,-61349260,156229038
512,3,1142479000,2127289387
513,2,1865903474,466858628
514,6,-720674275,2073023129
515,3,943737843,-1698672196
516,4,1114185642,-716154083
517,8,257327650,1909498748
518,6,367720870,-841910277
519,6,948908351,118794753
520,2,752619483,1578231417
521,3,1165666964,1349484455
522,10,129761259,87996361
523,8,1254058718,-356318963
524,8,-162971303,-2141013467
525,7,481576322,-489267321
526,2,1631542374,1449552515
527,10,96898492,-1754159695
528,9,-1426871261,2142456483
529,2,-620054296,-427921798
530,11,2141860656,-133378320
531,9,-193819768,-1567297377
532,8,1242241121,1351029764
533,8,1673611977,775275388
534,7,-897173470,-489622343
535,6,1915590851,-962988124
536,2,-1473889955,-916936195
537,2,-221061863,1189271431
538,8,-2083514734,-935785132
539,6,-1992735515,-1889050082
540,5,-1127389611,1266803224
541,9,-1474765711,702680250
542,5,-1730688787,918768675
543,9,-1858968715,-24227418
544,8,-1236901487,-959350447
545,1,1463967952,-300214713
546,10,104535744,-1716103993
547,4,1860931931,-351959558
548,2,43302492,524817011
549,9,-1621425551,-97297476
550,8,-1256887076,1599067628
551,7,1729193390,273919459
552,9,-612033240,-1418024872
553,1,138912328,890000827
554,9,-2054578905,985040225
555,5,-2007690562,-1028264642
556,3,2111778437,-259081971
557,9,1025795810,100713942
558,6,-384426868,-611643427
559,6,-1302931523,-1990725395
560,10,-1997951840,585992321
561,1,1625177480,-926814787
562,8,-2028354182,1034997757
563,5,385040209,759059503
564,5,-1794062309,588764825
565,8,-1929141799,1061021787
566,3,-1388001611,470049174
567,9,-291409626,-1947378722
568,6,-1500514354,2122453426
569,5,79214797,-1174124034
570,8,-674501882,1455441745
571,8,1336642817,-812172340
572,6,800228722,450658060
573,7,808333534,-955917504
574,11,-1539458743,-2024426981
575,7,-382543553,2112599139
576,10,-787976455,732893107
577,10,799798190,2123062797
578,10,-1177042596,-784572769
579,7,2127061257,999850756
580,8,1422008857,-592734473
581,4,-2026888961,-1146620625
582,5,1059883457,2036442629
583,11,-464736695,469375476
584,6,-192802441,1211481014
585,3,-951300457,845394424
586,11,-363612534,615803767
587,6,-1639737590,902374059
588,5,1617330443,158947427
589,8,1902802376,-27944000
590,11,1618136355,-1760273873
591,10,593761266,380996225
592,9,-325084823,303494285
593,9,1914578022,-2095582471
594,4,-1602365602,2104717422
595,10,2022690838,1317862869
596,6,-1392536413,1145044949
597,7,465182813,937921699
598,3,-2123358896,650998684
599,3,162019947,257137243
600,6,-335176020,-1864119617
601,11,1292057527,-815445913
602,3,54582494,-215302991
603,11,-1014327886,-573978472
604,5,331197393,-1006280477
605,7,-1741875292,1591836849
606,2,756188940,441513308
607,5,1555787824,-1907179359
608,7,-562603809,-632467261
609,6,-695034577,-299200356
610,2,119247239,965655090
611,6,939651155,214577642
612,5,339352412,1238070243
613,9,-117539422,78023668
614,3,424342428,841176762
615,5,667675070,-604749862
616,3,1583479364,747436635
617,5,519511821,2028274757
618,9,956063275,468433776
619,4,1730063643,-1819062344
620,1,-2119713571,-1978487631
621,5,-1895051905,234828897
622,7,1692611293,-712197109
623,11,272495625,-950287476
624,11,-224215832,181428853
625,6,-1731212658,-1985725082
626,7,-1964391983,563073368
627,7,-1935617580,73066829
628,2,1361170996,376632061
629,2,-1998860593,-1332650439
630,1,166369456,1555063179
631,10,-1818309684,-1997150740
632,11,2101528700,-353302914
633,2,642360822,1997069334
634,10,681705763,-406567381
635,9,471557006,1368080475
636,5,1514895566,-1267401634
637,6,967564268,-197778306
638,6,-2098975072,1285220849
639,3,-960067287,-65097677
640,6,-2023240823,1332629120
641,1,451078725,-1302934563
642,2,1814075361,667635964
643,6,-340558768,-1475511
644,3,-475331044,483677795
645,10,704415577,-1534559550
646,6,952664766,541099992
647,6,-2014338258,-129501846
648,11,226183789,630996575
649,1,-928695608,-862013183
650,6,215677640,-295978483
651,6,1875581327,-273615231
652,6,1120002728,2005683631
653,6,302831856,-1143203201
654,2,-1711890946,-1117889057
655,2,1152979889,-677445922
656,7,-518901102,388454974
657,6,1730826050,-333728247
658,6,615713883,866741207
659,4,1718366108,167194784
660,6,-651240686,1701524867
661,2,-1724043708,682224929
662,2,56712676,-1564571510
663,1,821747242,-518992416
664,7,-855050509,1359051544
665,9,1296566652,1481754081
666,2,909017000,108514918
667,5,2147040626,220633588
668,6,-796367294,1257742151
669,11,1772731726,-1717535542
670,6,-1321626145,856814877
671,9,2011171341,213701865
672,3,-393993902,-1623211228
673,3,258491115,1434657122
674,11,474002387,-561260640
675,1,-1225284140,-1850168607
676,1,1732159541,264979162
677,11,1180598481,-1220408159
678,5,-1878415413,303054290
679,6,-937774372,505556221
680,10,276580832,-906907209
681,6,-1703850461,-104242488
682,4,1127907923,-441637928
683,8,-1769220270,123376124
684,2,-701159971,1392456274
685,8,-698453189,-1007734928
686,11,-647483863,1451092955
687,6,1322516029,-1720729235
688,7,1847649549,-61965167
689,11,-899307710,766539466
690,6,-1628903479,1191106036
691,6,1288415174,186946029
692,1,987110229,-397819233
693,9,1894202199,-250938383
694,9,-1974250315,65120754
695,8,1574493908,-972628615
696,9,-2139191869,-1469233824
697,3,-571221862,-1888506072
698,8,-1153703192,2056126051
699,1,1972853853,980340462
700,8,-2020595021,126988173
701,1,-661830656,1895533978
702,1,1605776145,-810047546
703,3,-686405790,-1604707164
704,3,1339547033,1892934829
705,7,228383170,1661483500
706,6,-754713105,455973587
707,3,1448890094,1486927433
708,11,-302215399,608970564
709,9,747369012,-1876411750
710,3,-559220479,729026834
711,5,1265680815,-230458371
712,6,483857250,-798041091
713,10,-632713658,732059983
714,11,1285323934,553889117
715,5,-1117622919,1424645019
716,6,1472044167,1349923217
717,6,-918273060,-1225390657
718,1,1996882469,-427073305
719,5,2015406139,205629146
720,11,1652535905,-1865135905
721,10,-622492909,2027522757
722,11,130625444,-1637985119
723,2,-1983344768,-1125316081
724,6,-701234991,204713408
725,2,1530240933,1907572330
726,9,487400377,-1498126340
727,1,-1788164255,-386007090
728,4,-162514019,-1801269544
729,6,-417651352,-1985646721
730,9,1824685192,1940618817
731,2,715840332,-128592279
732,5,1853308034,921641935
733,7,-241553813,189005440
734,2,-2109961036,-717851418
735,9,925287289,904513397
736,10,401393078,-1992462798
737,5,1703527085,-1185750866
738,11,-689298736,-1412781086
739,2,625002595,-69905106
740,9,-1313078591,1314037119
741,4,-2005138453,267792281
742,2,-1285118066,-249153764
743,10,-1284953787,-1847411646
744,4,-526349048,-247127000
745,9,268183829,855853221
746,9,-144982506,1174040097
747,6,-84138480,-480830533
748,11,-1387937581,-998233420
749,9,1263339215,1887797694
750,1,-1735758731,1309182418
751,3,-1970193157,1261811413
752,11,2116037403,1801201121
753,8,1867011801,2019204055
754,8,49661599,1716524271
755,6,-902151212,-823834859
756,2,1358499922,1591643107
757,1,1898649339,-987905414
758,10,1458384763,115655505
759,7,1952507928,1372576566
760,2,-698157744,110539961
761,2,-182900541,-388013329
762,11,-1514263811,-1707710792
763,6,1661281943,-2144699320
764,8,-705284365,-1466475253
765,9,1243727318,-915196791
766,9,1354633844,-312542382
767,11,1019196218,952092472
768,6,-109282504,1038128147
769,7,33520551,1095080030
770,11,1396136712,353104465
771,4,-2124289695,1577617137
772,6,-1417510635,-969721105
773,3,587587082,2079819705
774,10,712989535,1222284697
775,6,-1673800206,-2026035857
776,2,1643759857,173636576
777,6,-184026567,-399256239
778,3,-6003412,-1706800621
779,2,-412487607,2008380334
780,9,-1523516827,530629033
781,7,-327982018,-182625054
782,6,1278262051,1900311033
783,6,-1320269597,1252183962
784,2,539773000,342150525
785,9,715557491,-91554217
786,10,1018073022,233404094
787,6,1840394720,-908575046
788,7,392327798,-796870847
789,6,-1342372657,2111058001
790,6,-544396659,-714390103
791,7,-1464066851,352976953
792,9,-1898362125,408121768
793,1,893801554,1890216547
794,4,-1198509833,2082579368
795,1,-350984904,-1261015434
796,1,-1401952508,1956502508
797,11,1702372662,1387417243
798,1,1459016479,2125979513
799,6,1874988428,15935946
800,9,-34433446,-2073286632
801,4,-1524016259,-1998961612
802,8,269713012,-316245333
803,3,772293884,-1037370582
804,6,1086494677,-1068934176
805,8,-2109578382,510913527
806,2,254935541,714074916
807,9,43099787,324001452
808,10,605301944,1640326372
809,9,-1581254451,404949789
810,9,-2088776697,-301661374
811,6,-313406572,-1918196788
812,4,-1061236989,440550025
813,9,522188594,-883355454
814,2,-513261797,-1785576918
815,10,1895480576,-1418196994
816,5,-1207364050,156214383
817,10,-471497912,-2076050492
818,7,182839437,-1683247693
819,3,-1951320503,373895247
820,3,984530874,584165410
821,11,1784283799,1646954943
822,2,1041625578,734839507
823,2,239715437,-1652538030
824,7,-752993559,1119047355
825,7,1698253476,1065161094
826,1,-1069371854,43174343
827,6,1588626570,1725478808
828,6,1858120218,-1553864956
829,1,-36318934,-444042216
830,2,-1042892806,-1181682542
831,8,2100820413,-80687686
832,2,814114993,-819807713
833,8,571041725,1346777032
834,9,851522638,-560687736
835,5,623782430,2023963281
836,9,-755753370,409549566
837,3,852756010,-2095925533
838,1,2040072606,1526988275
839,7,-538983811,1633893567
840,10,-905755765,1242534451
841,6,-989815723,-1054536574
842,4,-1853069577,1129711338
843,8,929527631,226517533
844,8,128514282,-1385385523
845,6,1049284027,-535806536
846,3,-1156638948,756838278
847,2,39596423,452099962
848,6,-1261119771,-1877487740
849,2,246471979,108056931
850,8,2138908007,27934394
851,5,-1847345113,916512536
852,11,-982683030,515251295
853,3,928366963,1962183809
854,9,-1262489471,-615235752
855,3,-1134999238,-2093740978
856,9,-581344704,1086202298
857,5,1540439159,394550311
858,6,-2050416046,-497977940
859,6,1326120553,245366669
860,4,-1115688870,274821289
861,6,599374078,-215269474
862,2,1306230854,644284117
863,4,-328790962,1546037047
864,5,1277621566,-934700305
865,2,-1798508642,-1848350638
866,3,-1273978357,1189045019
867,7,-1840685998,136691331
868,9,-589166132,-209775368
869,7,432404911,200480071
870,11,237694104,-113890561
871,6,-827375716,-2144703676
872,11,-425384135,-941791269
873,10,71808192,-1379442959
874,2,334560837,513268640
875,3,-620060586,2057512308
876,4,1600062009,-1355140212
877,6,959033190,360912601
878,5,434609567,-1455944166
879,8,141583064,-2057080253
880,4,2013013127,1638491968
881,2,706303467,-1095651769
882,3,-1855404926,-2138765815
883,9,-721973245,-37651865
884,10,-966390933,540416596
885,11,1509299177,-1635437870
886,6,-1260100014,-255002990
887,6,-1469974063,654118361
888,6,1034330854,-1975911376
889,11,-2013897320,-1897783929
890,1,634548150,-1769508661
891,9,611651222,-1015696420
892,1,399879120,647776555
893,11,1279399934,476248899
894,10,-2062617467,842946481
895,6,2117625046,-1808898275
896,6,1196082570,734849793
897,10,-106952851,-408137402
898,3,262913283,-585749379
899,1,-25648823,1624148922
900,6,1307822694,1609915945
901,5,-272931815,-574708341
902,10,308746295,197830624
903,4,-1760072587,-232374561
904,3,-1744471711,524276410
905,4,1823812774,-1396227551
906,2,-713181869,697147456
907,6,1874375239,-1206024266
908,2,887405822,1885459236
909,7,169836367,1482357015
910,1,-1302018643,1445821226
911,4,101571133,1402694374
912,9,-723451353,-567287671
913,10,-1240469665,173075523
914,2,1213885174,-33793248
915,11,1165375429,-504982275
916,4,-101953850,380531695
917,8,242851633,1293685314
918,6,-334444075,-807386673
919,6,-1103947603,-1594343429
920,11,805727839,-7359208
921,6,826623277,-684601571
922,6,1483013871,-991604689
923,5,83414981,-132256769
924,6,1466592339,504605723
925,8,-992281314,-1569706886
926,10,1524755204,1309699481
927,6,-1006295324,1969263122
928,3,-393135590,1510687961
929,4,-1649246011,-1485582363
930,2,1111741425,686792144
931,10,1134946844,1612024891
932,3,1302996365,-1767237874
933,1,43981783,-1597710770
934,8,211361205,-475255940
935,1,-939587971,160052510
936,1,1938891888,1892858053
937,4,1826662979,-1438863152
938,4,-1467674606,1727100353
939,5,648525756,-475886236
940,2,-1732757529,-1538026560
941,1,1800188012,-1754303626
942,7,-344888486,-125846059
943,9,-1324629646,-415292901
944,4,-1502741589,1552927082
945,10,-1335628685,-267020296
946,8,-1416969879,1713060489
947,10,995463858,-93252822
948,4,-751654874,942168271
949,10,-457038195,1346721085
950,5,1085549676,320823951
951,10,-1874165563,784608433
952,9,-1053652698,-1754645022
953,8,-1189836472,807198709
954,4,-873151963,-1825386426
955,7,594339608,-19428597
956,10,-443806024,2121989548
957,2,2063250621,772766251
958,6,-287126353,-1131205727
959,7,-454134277,-1171222470
960,8,1704392007,1867518304
961,6,-1202452613,944757074
962,1,-1024436616,588286712
963,5,1198152399,-1782892267
964,6,-165004815,833476230
965,6,440927547,1370098988
966,2,-206075154,789653526
967,6,-1965319013,1793467837
968,8,2121873846,1054415558
969,9,-1828452758,-1828503733
970,6,-1899905493,-709881294
971,7,-256608846,69281973
972,9,-640402100,-508036420
973,6,1888791918,1003049875
974,3,1221148929,-1676677851
975,5,1553130510,-1066309277
976,2,-847814637,-764441169
977,11,47398379,1076666519
978,9,-2070160683,221559768
979,7,1141173312,-2022671072
980,9,981489834,1516576884
981,9,615758138,40985720
982,1,-1372860391,357749189
983,5,428402526,1593325233
984,10,-669098100,194388251
985,1,-1616738068,-1422207356
986,11,-1670638900,1042293079
987,2,1766830238,-1191060454
988,3,-624392535,-1364633316
989,6,1877681188,502040639
990,8,-969378260,1286806565
991,9,661624566,1057130912
992,1,-1022869081,1405407365
993,1,1499136322,-1745555250
994,3,-1476917525,1534186922
